Area Centroid_1 Centroid_2 Eccentricity Perimeter
503 50.9940357852883 86.506958250497 0.676162360117058 82.719
143 47.6713286713287 161.944055944056 0.709276749808895 45.701
195 48.1846153846154 133.030769230769 0.546331051395593 52.549
855 64.5719298245614 109.047953216374 0.749973952482711 109.581
544 86.0294117647059 65.0551470588235 0.816459317103845 88.21
301 90.3488372093023 150.681063122924 0.693575901513953 64.351
523 98.2141491395793 89.9942638623327 0.498077424800174 86.151
707 117.570014144272 107.021216407355 0.753956196001151 98.589
612 114.266339869281 171.725490196078 0.586730657685888 90.36
472 116.148305084746 70.8305084745763 0.62913305740969 80.544
850 124.414117647059 140.315294117647 0.497540856018737 143.653
360 125.311111111111 40.1694444444444 0.75786756285461 80.072
278 133.708633093525 59.0971223021583 0.53255746088956 58.33
542 140.284132841328 83.0221402214022 0.668712663953288 90.311
529 152.748582230624 199.837429111531 0.684013400434651 87.573
693 162.900432900433 149.515151515152 0.497837989574544 104.411
355 165.864788732394 79.2478873239437 0.611233952400399 70.181
296 168.722972972973 106.439189189189 0.630571671213388 61.539
